type,client,tx,amount
dispute,257,30,
withdrawal,278,104,380.2724
dispute,303,22,
deposit,400,105,692.4806
dispute,287,87,
withdrawal,199,106,251.253
withdrawal,479,107,878.8401
deposit,95,108,498.298
resolve,67,98,
deposit,452,109,886.7532
resolve,189,44,
withdrawal,1,110,875.6232
deposit,39,111,646.6688
withdrawal,105,112,107.4866
chargeback,231,77,
resolve,145,66,
deposit,164,113,375.7858
deposit,39,114,184.8759
deposit,298,115,952.7449
withdrawal,312,116,857.8712
deposit,485,117,814.5235
withdrawal,339,118,985.487
deposit,228,119,87.9247
deposit,361,120,442.8291
withdrawal,163,121,256.0242
deposit,108,122,662.438
withdrawal,14,123,365.4666
deposit,486,124,575.0369
deposit,83,125,85.5874
deposit,388,126,219.1994
dispute,228,119,
deposit,388,127,873.4778
deposit,53,128,746.936
withdrawal,169,129,244.6774
deposit,74,130,92.378
deposit,238,131,50.9731
deposit,42,132,758.4877
deposit,318,133,436.6196
deposit,267,134,229.918
deposit,203,135,290.8777
deposit,214,136,610.708
deposit,164,137,29.0881
withdrawal,318,138,944.8943
deposit,274,139,484.4927
dispute,15,33,
deposit,132,140,485.2233
resolve,264,24,
deposit,120,141,70.7954
deposit,124,142,186.755
withdrawal,469,143,95.0605
deposit,232,144,555.2879
dispute,61,16,
deposit,44,145,996.0696
withdrawal,405,146,358.8519
deposit,347,147,444.2074
dispute,95,108,
resolve,267,134,
deposit,7,148,817.201
dispute,15,33,
deposit,97,149,350.2748
dispute,194,15,
deposit,19,150,488.5322
deposit,178,151,199.2509
deposit,223,152,40.193
deposit,110,153,331.8618
deposit,383,154,641.7077
dispute,101,32,
chargeback,120,141,
dispute,67,98,
deposit,267,155,830.0569
dispute,249,64,
deposit,89,156,448.0954
deposit,315,157,559.6219
deposit,21,158,47.442
withdrawal,129,159,4.0906
dispute,39,114,
deposit,181,160,36.5524
resolve,61,93,
withdrawal,492,161,632.8399
withdrawal,286,162,617.4177
deposit,251,163,764.6694
withdrawal,262,164,106.7171
deposit,274,165,833.9169
resolve,220,42,
resolve,332,6,
withdrawal,326,166,182.5868
withdrawal,473,167,344.2425
deposit,190,168,129.9493
resolve,164,137,
dispute,346,25,
withdrawal,101,169,448.3885
withdrawal,456,170,229.459
deposit,140,171,58.4622
deposit,224,172,142.1559
withdrawal,421,173,416.6741
dispute,101,32,
dispute,238,131,
withdrawal,496,174,424.5244
deposit,283,175,659.7554
withdrawal,174,176,311.2488
deposit,195,177,737.4447
deposit,118,178,123.2778
deposit,158,179,157.6277
resolve,39,111,
deposit,76,180,626.9532
deposit,37,181,173.4945
dispute,7,51,
deposit,159,182,538.5899
chargeback,53,94,
withdrawal,302,183,493.7557
dispute,164,113,
dispute,59,4,
withdrawal,463,184,737.9646
deposit,242,185,943.0441
deposit,154,186,721.1782
withdrawal,198,187,285.8271
dispute,251,163,
withdrawal,259,188,983.0259
deposit,168,189,223.7741
deposit,3,190,7.8033
deposit,318,191,937.182
deposit,107,192,934.7362
deposit,196,193,994.9062
deposit,384,194,270.9754
deposit,44,195,523.8811
chargeback,316,35,
withdrawal,167,196,596.312
deposit,104,197,524.9507
resolve,228,119,
deposit,374,198,832.0691
deposit,150,199,266.8654
dispute,318,75,
withdrawal,481,200,400.621
withdrawal,79,201,858.7263
withdrawal,402,202,892.096
deposit,174,203,41.9348
deposit,228,204,788.431
withdrawal,356,205,822.668
deposit,147,206,753.9395
deposit,134,207,873.4945
withdrawal,370,208,222.1375
dispute,332,6,
deposit,448,209,17.0112
deposit,68,210,254.9844
dispute,318,191,
deposit,141,211,150.5033
resolve,196,193,
withdrawal,369,212,95.0011
withdrawal,484,213,241.6574
deposit,212,214,651.9339
dispute,283,175,
deposit,176,215,681.3966
deposit,318,216,895.0777
deposit,77,217,285.152
withdrawal,357,218,163.0089
withdrawal,26,219,535.3123
chargeback,428,59,
withdrawal,391,220,255.2364
chargeback,274,165,
resolve,220,42,
withdrawal,206,221,591.9722
dispute,318,191,
withdrawal,71,222,512.4636
deposit,468,223,435.4479
resolve,395,38,
deposit,191,224,317.2048
withdrawal,457,225,998.9821
deposit,35,226,438.4736
deposit,33,227,55.7375
dispute,274,165,
resolve,191,224,
deposit,367,228,481.5059
deposit,477,229,24.8838
deposit,165,230,27.8356
resolve,199,81,
withdrawal,359,231,452.5449
withdrawal,6,232,830.7447
resolve,190,168,
withdrawal,430,233,782.3448
resolve,67,98,
deposit,118,234,725.5188
deposit,48,235,706.6901
resolve,189,63,
dispute,312,10,
chargeback,144,101,
withdrawal,447,236,499.8309
deposit,60,237,939.2611
resolve,232,144,
deposit,495,238,92.2832
chargeback,158,179,
withdrawal,421,239,755.6713
withdrawal,429,240,516.9174
deposit,144,241,853.0953
deposit,359,242,474.4799
withdrawal,112,243,277.0715
deposit,393,244,915.4267
resolve,238,131,
withdrawal,16,245,629.4859
deposit,258,246,599.1187
resolve,181,160,
withdrawal,279,247,245.8158
deposit,156,248,134.2522
deposit,20,249,744.4235
withdrawal,184,250,253.5156
deposit,356,251,462.7407
dispute,428,59,
deposit,342,252,285.2515
withdrawal,17,253,699.2185
withdrawal,16,254,967.7977
withdrawal,346,255,346.7066
resolve,101,32,
withdrawal,82,256,251.2873
deposit,363,257,971.5001
deposit,491,258,454.9136
chargeback,20,20,
deposit,164,259,82.0596
deposit,106,260,777.821
deposit,17,261,307.3231
withdrawal,61,262,548.9386
withdrawal,200,263,589.7269
deposit,91,264,808.2199
resolve,33,227,
deposit,40,265,471.5552
withdrawal,414,266,257.6975
withdrawal,23,267,289.7713
dispute,3,190,
deposit,305,268,117.7887
withdrawal,44,269,457.5002
deposit,126,270,423.8231
deposit,248,271,644.4667
withdrawal,36,272,520.66
resolve,290,29,
deposit,154,273,660.0319
dispute,452,109,
deposit,342,274,530.332
deposit,96,275,633.623
deposit,247,276,104.3019
deposit,8,277,899.2072
chargeback,104,197,
resolve,258,246,
deposit,218,278,840.2583
deposit,195,279,81.4484
deposit,328,280,427.4837
deposit,23,281,64.8617
deposit,400,282,736.8131
deposit,43,283,808.7904
deposit,327,284,870.8049
chargeback,258,246,
dispute,267,134,
deposit,60,285,850.5363
dispute,44,195,
withdrawal,371,286,970.7352
withdrawal,314,287,305.9874
deposit,195,288,98.4106
deposit,51,289,155.5319
withdrawal,197,290,133.9208
deposit,76,291,618.65
resolve,154,273,
resolve,223,152,
withdrawal,325,292,363.6186
deposit,135,293,973.9222
resolve,303,22,
withdrawal,423,294,288.839
deposit,2,295,823.9103
dispute,164,113,
dispute,7,148,
chargeback,164,259,
deposit,60,296,686.5699
withdrawal,224,297,834.7819
resolve,43,283,
resolve,477,229,
deposit,458,298,38.0704
deposit,437,299,643.6161
deposit,308,300,422.8576
deposit,9,301,142.296
deposit,428,302,864.5828
deposit,449,303,779.9282
resolve,383,154,
deposit,126,304,526.6313
deposit,89,305,231.4687
dispute,195,177,
withdrawal,411,306,908.5184
withdrawal,445,307,480.2812
dispute,134,207,
deposit,408,308,377.0618
resolve,274,139,
chargeback,178,151,
deposit,458,309,466.6433
deposit,288,310,742.1542
withdrawal,39,311,438.3575
deposit,478,312,876.5229
deposit,66,313,818.7344
withdrawal,413,314,87.3189
withdrawal,156,315,997.0603
deposit,401,316,6.2914
deposit,276,317,658.1723
deposit,33,318,718.2956
dispute,458,298,
deposit,489,319,473.1092
withdrawal,281,320,478.4662
deposit,214,321,594.1525
withdrawal,493,322,586.4307
deposit,406,323,13.5515
deposit,168,324,183.4498
deposit,411,325,730.8548
chargeback,298,115,
deposit,328,326,813.5455
deposit,183,327,70.7404
dispute,489,319,
dispute,53,128,
deposit,355,328,185.4375
deposit,346,329,963.2847
chargeback,288,310,
withdrawal,58,330,562.9939
resolve,108,83,
deposit,363,331,417.9912
dispute,17,261,
dispute,451,103,
deposit,52,332,290.3324
deposit,491,333,258.2796
deposit,419,334,754.5904
deposit,498,335,456.849
chargeback,191,11,
withdrawal,146,336,248.1991
resolve,17,261,
chargeback,21,48,
resolve,303,22,
withdrawal,39,337,823.5173
deposit,58,338,3.3463
deposit,204,339,671.0477
deposit,483,340,975.9608
withdrawal,456,341,780.5147
resolve,39,114,
deposit,432,342,392.9644
resolve,318,191,
resolve,384,79,
deposit,345,343,545.8289
dispute,485,117,
withdrawal,273,344,752.9439
deposit,249,345,613.1153
deposit,188,346,20.2187
deposit,347,347,206.1257
chargeback,89,156,
withdrawal,480,348,206.1368
deposit,129,349,254.0115
resolve,181,160,
deposit,124,350,523.6518
resolve,328,326,
deposit,91,351,210.7595
chargeback,144,101,
withdrawal,182,352,732.327
chargeback,89,156,
deposit,213,353,641.3497
dispute,342,252,
deposit,82,354,168.2433
deposit,489,355,485.4542
deposit,416,356,135.0071
withdrawal,447,357,228.5662
dispute,204,339,
deposit,149,358,794.4494
deposit,108,359,741.4603
deposit,208,360,594.333
deposit,426,361,164.1512
deposit,228,362,254.3465
deposit,360,363,843.7725
resolve,145,66,
withdrawal,362,364,21.3123
deposit,369,365,771.613
deposit,319,366,436.0162
deposit,131,367,382.0005
deposit,251,368,947.5109
deposit,193,369,668.3898
deposit,462,370,18.3728
withdrawal,484,371,830.6408
resolve,7,148,
deposit,269,372,456.0825
withdrawal,2,373,715.6584
dispute,74,130,
chargeback,411,325,
dispute,395,38,
resolve,7,148,
deposit,214,374,733.1991
deposit,346,375,397.657
resolve,190,168,
withdrawal,142,376,411.4135
deposit,30,377,144.5218
deposit,365,378,255.8301
dispute,346,375,
deposit,83,379,453.8935
deposit,386,380,793.7874
withdrawal,340,381,707.5649
chargeback,318,191,
deposit,360,382,845.7427
withdrawal,101,383,684.9558
resolve,276,317,
deposit,348,384,797.134
resolve,89,305,
withdrawal,85,385,538.5803
resolve,269,372,
deposit,136,386,535.6959
dispute,218,278,
deposit,305,387,975.5348
withdrawal,329,388,988.6485
deposit,37,389,964.4447
withdrawal,471,390,349.0488
deposit,370,391,460.6534
deposit,2,392,431.3731
deposit,420,393,706.7697
deposit,354,394,895.4974
deposit,214,395,564.5576
deposit,196,396,607.6636
deposit,499,397,427.2447
resolve,33,318,
deposit,20,398,554.3824
resolve,208,360,
deposit,108,399,306.5994
resolve,497,61,
resolve,97,7,
resolve,380,31,
withdrawal,229,400,443.378
deposit,436,401,412.6813
deposit,317,402,31.9679
resolve,76,180,
dispute,147,82,
deposit,264,403,899.0063
withdrawal,301,404,627.699
resolve,68,210,
deposit,389,405,331.4954
withdrawal,328,406,779.7171
withdrawal,12,407,898.8403
deposit,118,408,760.9768
resolve,97,149,
resolve,108,122,
deposit,40,409,361.8681
withdrawal,272,410,474.2333
withdrawal,32,411,799.1814
withdrawal,106,412,565.9214
deposit,210,413,783.3101
deposit,493,414,917.0812
deposit,111,415,129.6896
withdrawal,261,416,157.9173
deposit,236,417,494.551
deposit,338,418,760.9745
deposit,368,419,900.3006
deposit,51,420,691.5661
deposit,372,421,729.4705
withdrawal,290,422,460.8635
chargeback,308,300,
resolve,159,182,
deposit,44,423,931.4533
dispute,214,136,
chargeback,269,372,
withdrawal,20,424,738.8896
resolve,380,31,
deposit,499,425,910.0758
withdrawal,307,426,184.0789
dispute,204,339,
resolve,39,111,
deposit,55,427,811.566
deposit,358,428,702.793
withdrawal,167,429,537.2404
deposit,216,430,465.0296
resolve,372,421,
deposit,411,431,330.5335
deposit,398,432,626.4847
deposit,6,433,332.4965
dispute,3,190,
deposit,190,434,55.4335
resolve,489,355,
deposit,4,435,993.1663
withdrawal,474,436,489.7244
deposit,165,437,686.2803
deposit,253,438,871.7289
deposit,5,439,208.3179
withdrawal,493,440,233.2134
dispute,416,356,
withdrawal,256,441,632.9631
deposit,475,442,961.1279
deposit,239,443,716.771
withdrawal,368,444,130.8951
chargeback,218,278,
deposit,396,445,325.1635
dispute,30,377,
withdrawal,137,446,570.7524
deposit,412,447,997.5196
deposit,90,448,759.177
deposit,305,449,439.7046
deposit,91,450,362.258
withdrawal,276,451,854.8242
deposit,49,452,166.8761
deposit,251,453,569.2031
deposit,81,454,693.4028
deposit,270,455,356.5783
withdrawal,347,456,881.953
deposit,49,457,257.5622
deposit,163,458,326.6828
deposit,382,459,481.9008
dispute,347,347,
withdrawal,383,460,919.0007
deposit,314,461,849.4349
deposit,490,462,825.0519
deposit,255,463,648.9042
dispute,17,261,
dispute,398,432,
withdrawal,174,464,287.7088
withdrawal,12,465,629.2901
withdrawal,480,466,462.3875
withdrawal,411,467,564.6208
deposit,333,468,861.6682
withdrawal,369,469,362.673
dispute,66,313,
resolve,477,229,
dispute,483,340,
withdrawal,17,470,685.4587
dispute,372,421,
withdrawal,357,471,478.7538
deposit,318,472,72.6643
deposit,298,473,738.6075
deposit,107,474,150.0258
deposit,197,475,383.8083
deposit,245,476,171.9528
dispute,489,355,
withdrawal,238,477,905.7739
withdrawal,419,478,313.1608
deposit,19,479,279.0069
withdrawal,123,480,86.5126
withdrawal,307,481,847.7047
withdrawal,312,482,546.644
deposit,447,483,731.1888
deposit,3,484,644.1117
deposit,437,485,742.6308
deposit,262,486,201.1936
deposit,409,487,716.8888
resolve,490,462,
deposit,180,488,210.809
withdrawal,481,489,753.5194
resolve,30,377,
dispute,124,350,
resolve,420,393,
deposit,467,490,418.297
withdrawal,211,491,259.1076
withdrawal,494,492,298.0944
dispute,124,142,
withdrawal,245,493,24.5213
withdrawal,423,494,752.9114
deposit,244,495,751.8469
resolve,360,363,
deposit,348,496,440.6863
withdrawal,233,497,253.2656
withdrawal,153,498,317.8382
deposit,440,499,807.6705
deposit,391,500,515.3179
deposit,376,501,46.7237
withdrawal,247,502,121.5714
deposit,215,503,467.2766
deposit,227,504,413.8387
deposit,47,505,513.7465
deposit,472,506,92.9071
deposit,12,507,45.8187
dispute,238,131,
withdrawal,337,508,205.2184
resolve,437,299,
deposit,315,509,498.2491
chargeback,386,380,
deposit,234,510,23.595
dispute,386,380,
deposit,126,511,695.3912
resolve,20,398,
withdrawal,361,512,736.9601
dispute,37,389,
deposit,17,513,869.892
deposit,355,514,757.9934
deposit,13,515,715.0748
resolve,4,435,
deposit,94,516,645.1725
deposit,49,517,92.9276
deposit,115,518,445.053
deposit,314,519,928.2527
deposit,204,520,825.5386
withdrawal,355,521,151.8429
withdrawal,441,522,386.8777
deposit,35,523,343.1669
deposit,73,524,636.4668
deposit,237,525,859.4539
deposit,498,526,623.1195
withdrawal,82,527,472.5398
deposit,24,528,125.5268
deposit,11,529,125.6201
deposit,448,530,999.8248
deposit,141,531,351.0995
deposit,467,532,560.6198
dispute,346,375,
resolve,33,227,
withdrawal,94,533,236.9466
withdrawal,497,534,618.671
resolve,412,447,
chargeback,124,142,
withdrawal,316,535,128.3776
deposit,419,536,87.8697
chargeback,195,279,
deposit,116,537,304.3047
dispute,55,427,
withdrawal,416,538,280.6347
deposit,81,539,710.954
deposit,345,540,893.6717
resolve,314,461,
deposit,425,541,235.6269
dispute,115,518,
deposit,394,542,866.1342
deposit,148,543,831.3505
deposit,298,544,168.7864
dispute,305,449,
withdrawal,264,545,776.5442
deposit,238,546,349.0362
deposit,439,547,395.5056
dispute,248,271,
deposit,142,548,200.7509
deposit,192,549,528.5855
dispute,195,288,
deposit,483,550,457.8596
deposit,338,551,934.9512
deposit,26,552,490.734
deposit,88,553,188.7823
deposit,41,554,102.895
dispute,181,160,
deposit,242,555,879.229
deposit,451,556,395.8734
deposit,75,557,765.6376
dispute,41,554,
deposit,73,558,105.588
deposit,262,559,778.3832
deposit,266,560,252.5364
resolve,498,526,
dispute,218,278,
deposit,52,561,957.8359
chargeback,413,9,
deposit,215,562,800.8299
withdrawal,221,563,819.2594
deposit,93,564,431.486
deposit,144,565,842.4398
withdrawal,345,566,502.4761
deposit,5,567,473.5051
withdrawal,195,568,249.5305
resolve,196,193,
deposit,252,569,792.253
deposit,35,570,329.7125
withdrawal,143,571,474.4331
resolve,383,154,
deposit,315,572,913.809
deposit,384,573,582.036
deposit,207,574,393.9998
deposit,498,575,21.9425
deposit,488,576,592.9008
deposit,201,577,374.144
deposit,266,578,778.7309
deposit,143,579,975.0318
deposit,324,580,129.8564
deposit,203,581,941.5644
deposit,329,582,355.6492
chargeback,2,392,
dispute,179,76,
chargeback,199,81,
dispute,95,108,
deposit,444,583,966.2342
withdrawal,174,584,364.9021
resolve,124,142,
resolve,196,193,
withdrawal,120,585,22.2177
dispute,428,302,
dispute,245,476,
resolve,439,46,
deposit,433,586,941.4348
deposit,169,587,302.3146
withdrawal,100,588,217.6151
deposit,25,589,668.9571
deposit,280,590,594.355
deposit,372,591,969.2646
deposit,33,592,108.4533
deposit,131,593,273.2613
deposit,366,594,368.9389
dispute,76,180,
withdrawal,402,595,63.6144
resolve,458,309,
deposit,22,596,970.09
withdrawal,257,597,7.1687
deposit,334,598,766.0179
deposit,442,599,549.5696
deposit,47,600,161.6823
resolve,363,331,
deposit,332,601,153.3794
deposit,42,602,731.0724
withdrawal,56,603,722.4563
deposit,146,604,684.5223
dispute,348,384,
chargeback,93,564,
dispute,33,318,
dispute,395,38,
deposit,390,605,376.3827
deposit,320,606,392.6714
deposit,221,607,477.3907
deposit,402,608,342.3788
deposit,5,609,498.9721
dispute,428,59,
withdrawal,188,610,374.9747
deposit,328,611,440.6723
deposit,159,612,0.7651
chargeback,35,226,
deposit,339,613,544.9267
withdrawal,327,614,764.0397
deposit,185,615,976.5763
resolve,131,593,
deposit,474,616,130.2145
withdrawal,187,617,805.8207
dispute,66,313,
withdrawal,447,618,292.1057
resolve,168,324,
withdrawal,441,619,887.9527
withdrawal,119,620,485.8032
deposit,106,621,565.5537
deposit,453,622,497.1409
withdrawal,8,623,673.7163
deposit,397,624,685.9085
withdrawal,276,625,660.1989
deposit,326,626,100.5203
deposit,397,627,659.7269
deposit,236,628,532.5394
deposit,419,629,29.8092
withdrawal,246,630,782.9659
deposit,82,631,341.2599
deposit,252,632,716.8232
withdrawal,195,633,114.5025
withdrawal,249,634,696.9427
deposit,355,635,914.0719
withdrawal,473,636,358.4534
deposit,437,637,984.7822
deposit,80,638,91.5764
deposit,96,639,990.2631
withdrawal,432,640,777.1012
withdrawal,10,641,899.1791
resolve,402,608,
withdrawal,32,642,671.9629
resolve,60,285,
deposit,114,643,480.6711
withdrawal,122,644,809.6342
deposit,347,645,617.3351
deposit,490,646,270.404
withdrawal,483,647,202.2724
deposit,1,648,981.334
deposit,229,649,442.2989
deposit,82,650,343.0028
deposit,420,651,237.9947
dispute,25,97,
withdrawal,303,652,466.7312
deposit,220,653,520.2919
deposit,312,654,788.3627
withdrawal,258,655,98.9984
resolve,328,280,
withdrawal,144,656,998.5191
deposit,285,657,422.8215
withdrawal,233,658,330.3341
dispute,74,130,
withdrawal,179,659,454.727
dispute,245,476,
deposit,370,660,860.2024
deposit,268,661,80.8621
deposit,201,662,988.7035
withdrawal,385,663,764.453
dispute,439,547,
deposit,93,664,534.3149
dispute,94,516,
withdrawal,474,665,505.002
dispute,332,601,
dispute,402,608,
withdrawal,274,666,260.9617
deposit,31,667,493.9558
resolve,149,358,
withdrawal,277,668,928.4344
resolve,227,504,
withdrawal,50,669,87.952
deposit,116,670,876.8302
withdrawal,83,671,772.5954
withdrawal,435,672,610.078
deposit,238,673,152.4453
withdrawal,368,674,354.7824
deposit,262,675,143.6843
deposit,195,676,599.5335
deposit,47,677,250.1787
chargeback,491,258,
deposit,176,678,274.6683
withdrawal,327,679,433.684
dispute,400,282,
deposit,471,680,873.6015
withdrawal,301,681,263.5441
withdrawal,69,682,674.0261
deposit,11,683,89.5473
deposit,110,684,362.2309
deposit,266,685,887.3739
resolve,183,327,
deposit,90,686,804.7664
deposit,196,687,313.3231
dispute,266,560,
deposit,467,688,984.2423
deposit,419,689,670.9416
deposit,461,690,967.4301
dispute,146,604,
deposit,240,691,306.7716
withdrawal,281,692,398.2064
deposit,198,693,893.5356
withdrawal,13,694,610.4922
deposit,446,695,470.3606
withdrawal,179,696,773.1742
resolve,93,564,
deposit,361,697,627.2199
deposit,125,698,451.9755
deposit,315,699,815.511
dispute,40,265,
deposit,335,700,318.2896
chargeback,391,500,
deposit,92,701,122.5604
dispute,126,304,
deposit,67,702,70.1312
deposit,129,703,879.0939
withdrawal,274,704,300.6362
deposit,68,705,968.5733
resolve,93,664,
deposit,185,706,664.159
withdrawal,320,707,41.2524
withdrawal,291,708,613.0906
deposit,207,709,153.5484
deposit,306,710,822.8156
dispute,47,677,
deposit,461,711,709.4639
deposit,447,712,894.8181
deposit,495,713,600.4808
deposit,346,714,572.5339
deposit,416,715,194.9567
deposit,10,716,510.7137
deposit,232,717,839.1364
withdrawal,192,718,275.121
resolve,303,22,
deposit,369,719,773.0354
withdrawal,464,720,759.7264
deposit,34,721,185.5179
dispute,439,547,
deposit,375,722,520.3696
deposit,235,723,849.0414
deposit,496,724,634.5516
resolve,398,432,
deposit,242,725,247.5431
deposit,238,726,848.0719
withdrawal,179,727,507.7229
deposit,333,728,624.752
deposit,177,729,651.721
resolve,201,662,
deposit,15,730,886.6758
deposit,486,731,225.1287
resolve,318,472,
resolve,220,653,
deposit,268,732,781.5496
deposit,324,733,55.3632
withdrawal,161,734,980.5796
deposit,43,735,336.2599
withdrawal,327,736,467.7771
withdrawal,175,737,585.2939
deposit,242,738,409.2123
resolve,287,87,
chargeback,303,22,
dispute,195,288,
deposit,436,739,591.0612
dispute,345,540,
deposit,239,740,288.2187
dispute,180,488,
deposit,334,741,616.2007
deposit,170,742,921.9874
dispute,203,581,
withdrawal,437,743,582.6828
deposit,203,744,24.831
withdrawal,90,745,945.4427
deposit,469,746,523.252
deposit,467,747,29.5259
resolve,90,686,
withdrawal,118,748,195.58
deposit,111,749,593.9905
deposit,248,750,636.3555
deposit,377,751,922.5511
deposit,443,752,526.6175
resolve,326,626,
deposit,302,753,984.232
deposit,322,754,698.4174
deposit,412,755,249.315
deposit,247,756,510.3683
dispute,5,567,
deposit,483,757,576.6912
resolve,408,308,
deposit,94,758,820.7847
dispute,183,327,
resolve,366,594,
deposit,234,759,673.9121
deposit,448,760,839.8046
deposit,82,761,495.5488
deposit,159,762,874.6161
deposit,136,763,802.87
withdrawal,55,764,169.3801
withdrawal,207,765,450.7254
deposit,59,766,643.26
deposit,142,767,673.993
withdrawal,255,768,245.5686
withdrawal,495,769,706.8468
deposit,111,770,389.9477
withdrawal,333,771,960.2084
deposit,346,772,24.3674
dispute,247,276,
withdrawal,493,773,472.903
chargeback,203,581,
deposit,207,774,686.1109
withdrawal,87,775,35.8161
deposit,138,776,358.9852
deposit,231,777,139.0726
deposit,303,778,165.8347
deposit,310,779,856.6273
resolve,234,759,
chargeback,238,131,
withdrawal,217,780,908.0308
deposit,85,781,56.3615
chargeback,248,271,
deposit,313,782,242.0831
withdrawal,296,783,204.7802
deposit,112,784,934.6205
deposit,401,785,338.654
resolve,4,435,
deposit,45,786,464.0975
deposit,344,787,705.5294
withdrawal,149,788,300.9569
deposit,4,789,736.8683
deposit,445,790,732.2245
withdrawal,81,791,286.0858
withdrawal,421,792,482.491
withdrawal,127,793,716.6695
withdrawal,337,794,683.6778
withdrawal,69,795,729.7292
deposit,234,796,447.4053
deposit,300,797,586.3789
deposit,177,798,422.742
dispute,197,475,
deposit,120,799,382.3443
deposit,168,800,956.0556
deposit,393,801,696.3744
deposit,500,802,607.2617
deposit,275,803,883.0604
deposit,156,804,36.7478
deposit,282,805,983.3363
withdrawal,238,806,453.0106
dispute,110,153,
deposit,410,807,463.9435
chargeback,26,552,
deposit,414,808,820.1081
deposit,151,809,970.2703
deposit,166,810,939.3163
resolve,215,503,
deposit,254,811,242.8708
deposit,93,812,503.1874
deposit,365,813,307.1534
dispute,218,278,
deposit,285,814,435.168
resolve,447,483,
resolve,126,511,
deposit,201,815,320.5638
deposit,234,816,561.5843
withdrawal,143,817,399.2663
resolve,500,802,
deposit,58,818,258.7097
withdrawal,485,819,514.8666
deposit,323,820,911.3925
deposit,203,821,637.0452
withdrawal,80,822,298.7238
resolve,93,564,
deposit,171,823,375.8676
resolve,483,550,
withdrawal,69,824,280.7411
deposit,179,825,212.7196
withdrawal,451,826,336.8697
dispute,248,271,
resolve,170,742,
deposit,177,827,682.6815
deposit,208,828,70.812
chargeback,313,782,
deposit,305,829,761.2515
deposit,423,830,760.2264
deposit,267,831,520.2471
chargeback,204,339,
withdrawal,327,832,109.1478
deposit,219,833,200.2216
deposit,31,834,719.8549
